Index_Close,Oil_Close
66.169998,112.02
66,113.59
67.970001,108.27
68.07,104.79
67.419998,104.57
66.290001,107.57
66.699997,111.49
68.379997,111.71
69.449997,109.82
70.43,113.21
71.07,113.55
71.580002,117.4
71,117.4
72.330002,117.35
71.470001,117.36
69.410004,118.46
69.639999,117.38
69.730003,118.06
69.110001,117.05
71.800003,118.18
71.349998,118.52
72.940002,118.25
73.040001,118.99
74.230003,118.27
74.690002,118.14
74.669998,117.99
74.129997,118.16
72.599998,115.93
73.339996,116.37
72.43,116.02
72.32,113.74
69.919998,110.22
69.300003,106.92
63.389999,103.06
62.259998,103.63
56.43,103.84
60.169998,107.82
58.23,108.17
61.880001,108.89
62.080002,109.69
64.360001,111.37
62.849998,108.36
63.130001,109.37
59.080002,108.83
57.720001,110.35
57.029999,111.91
59.669998,111.91
60.240002,112.29
59.200001,115.59
60.580002,116.48
62.810001,116.43
63.630001,115.92
64.059998,113.29
63.580002,117.5
61.619999,117.99
60.990002,115.1
63.459999,114.75
62.689999,114.08
60.669998,113.1
60.700001,116.71
60.98,116.26
61.630001,112.89
62.779999,114.39
62.779999,114.26
61.400002,109.21
60.82,109.17
57.860001,107.9
54.080002,109.54
53.02,108.52
54.389999,107.08
55.919998,105.42
53.880001,103.61
53.290001,101.84
52.25,103.77
49.450001,104.38
51.439999,106.56
54,109.49
55.450001,109.22
54.400002,112.44
57.080002,112.45
57.09,114.33
57.889999,112.92
57.75,112.08
59.310001,111.76
59.130001,109
61.240002,111.6
60.700001,111.67
60.93,112.11
62.119999,110.43
63.220001,112.45
61.959999,110.01
62.919998,108.43
66.860001,106.97
67.5,110.82
64.43,110.76
62.279999,112.22
63.970001,114.75
66.120003,115.61
66.559998,115.29
66.410004,113.32
67.639999,114.43
64.75,112.57
65.550003,111.9
66.790001,111.91
65.970001,109.25
66.07,107.82
65.120003,105.98
62.630001,107.77
62.73,106.83
61.07,106.08
60.869999,109.38
58.77,111.25
58.66,111.22
60.810001,108.83
61.970001,109.59
65.209999,110.18
64.93,110.16
64.949997,110.07
65.099998,108.23
65.57,107.91
64.269997,107.82
62.23,109.25
63.41,105.72
61.599998,104.52
60.66,104
59.02,104.55
58.720001,107.8
59.209999,108
58.349998,108.98
60.630001,109.28
60.98,107.54
62.060001,106.89
61.970001,108.09
62.259998,111.12
60.84,113.37
61.080002,113.59
61.610001,111.96
63.490002,111.07
63.400002,113.3
63.27,111.66
63.080002,112.97
62.959999,109.88
63.630001,110.55
62.66,109.81
62.220001,109.54
61.52,108.5
61.720001,109.46
63.27,108.38
63.220001,108.48
62.790001,109.08
64.25,110.5
63.959999,110.24
65.160004,110.26
63.68,111.96
64.550003,110.96
64.099998,112.56
63.889999,115.47
64.160004,116.86
65.029999,117.18
66,118.4
66.870003,118.13
67.220001,118.73
67.029999,118.3
67.230003,120.25
66.489998,121
66.93,120.69
66.940002,120.85
67.209999,123.07
68.230003,124.53
68.599998,124.89
68.82,126.46
68.919998,124.02
69.440002,122.23
69.599998,125.76
69.129997,125.93
68.620003,126.68
67.959999,125.03
68.510002,125.37
67.779999,127.96
66.830002,128.08
65.480003,127.27
66.269997,128.14
66.790001,126.98
67.720001,123.63
66.239998,125.09
67.279999,125.76
66.57,124.38
66.949997,123.89
68,122.49
68.550003,125.21
67.010002,125.85
66.309998,125.25
64,124.41
65.129997,123.23
65.43,123.41
64.699997,124.44
63.580002,123.04
63.290001,123.58
64.029999,121.89
65.260002,120.41
64.139999,120.57
63.459999,120.62
62.990002,118.23
62.380001,117.41
60.91,115.18
60.580002,117
62.439999,118.08
61.490002,116.66
60.549999,117.74
61.849998,117.45
61.549999,119.33
61.639999,119.3
61.200001,118.66
61.080002,119.57
61.549999,117.57
62.290001,115.91
62.290001,111.66
63.049999,110.48
63.950001,111.89
65.389999,112.24
63.669998,112.5
62.380001,110.79
60.830002,111.4
60.810001,109.8
60.439999,109.31
60.32,108.03
60.740002,109.02
60.200001,109.76
58.990002,106.88
57.259998,107.2
57.48,107.86
56.27,107.55
55.689999,103.85
57.639999,103.86
57.16,98.63
56.869999,97.74
56.959999,98.65
57.540001,101.14
58.599998,100.05
56.470001,97.57
55.740002,98.6
54.290001,96.59
54.18,97.29
55.040001,96.46
56.009998,97.13
56.700001,95.21
55.220001,95.14
56,93.5
55.630001,89.22
54.560001,89.22
55.52,88.69
56.59,90.19
55.400002,92.06
56.73,91.02
56.73,94.17
56.689999,95.28
55.110001,99.89
53.630001,101.54
53.279999,98.5
55.799999,99.94
55.799999,99.15
57.610001,99.23
57.84,99.18
59.700001,101.91
59.360001,102.1
58.279999,104.21
57.669998,105.92
56.240002,107.79
57.040001,106.98
56.540001,103.91
57.880001,103.57
58.349998,102.35
59.060001,104.77
59.549999,106.3
59.93,106.54
59.650002,105.93
58.669998,106.78
57.82,107.55
57.98,109.57
59.549999,110.01
60.580002,112.39
61.700001,113.42
60.93,113.52
61.099998,113.13
59.919998,114.48
61.470001,113.9
61.830002,115.51
