Date,xom,cvx,rydaf,ptr,tte,cop,eqnr,bp,enb,pbr
1962-01-02,0.10130034387111664,0.3556840717792511,,,,,,0.052378829568624496,,
1962-01-03,0.1028047502040863,0.3548811376094818,,,,,,0.05309635028243065,,
1962-01-04,0.1030554547905922,0.35166963934898376,,,,,,0.05213971063494682,,
1962-01-05,0.10079877823591232,0.3428375720977783,,,,,,0.050704654306173325,,
1962-01-08,0.10054798424243927,0.3412320911884308,,,,,,0.05166133865714073,,
1962-01-09,0.10029733180999756,0.346049427986145,,,,,,0.05178089812397957,,
1962-01-10,0.09979583323001862,0.346049427986145,,,,,,0.05166133865714073,,
1962-01-11,0.10079877823591232,0.3548811376094818,,,,,,0.05213971063494682,,
1962-01-12,0.10230329632759094,0.35407835245132446,,,,,,0.052378829568624496,,
1962-01-15,0.10230329632759094,0.3484581410884857,,,,,,0.052020102739334106,,
1962-01-16,0.10155104845762253,0.3492611348628998,,,,,,0.052498430013656616,,
1962-01-17,0.10104957967996597,0.34685224294662476,,,,,,0.05213971063494682,,
1962-01-18,0.10130034387111664,0.35166963934898376,,,,,,0.05178089812397957,,
1962-01-19,0.10205253958702087,0.3500640392303467,,,,,,0.052498430013656616,,
1962-01-22,0.10230329632759094,0.35166963934898376,,,,,,0.052020102739334106,,
1962-01-23,0.10155104845762253,0.3492611348628998,,,,,,0.05225926265120506,,
1962-01-24,0.10155104845762253,0.3476549983024597,,,,,,0.05213971063494682,,
1962-01-25,0.10180182754993439,0.3484581410884857,,,,,,0.05213971063494682,,
1962-01-26,0.10230329632759094,0.3508666455745697,,,,,,0.053335513919591904,,
1962-01-29,0.10380783677101135,0.3484581410884857,,,,,,0.05309635028243065,,
1962-01-30,0.10481072962284088,0.3500640392303467,,,,,,0.053574685007333755,,
1962-01-31,0.1063152328133583,0.35087403655052185,,,,,,0.053335513919591904,,
1962-02-01,0.10832120478153229,0.3589774966239929,,,,,,0.05345505475997925,,
1962-02-02,0.11057776212692261,0.375994473695755,,,,,,0.05596647039055824,,
1962-02-05,0.1115807518362999,0.3695121109485626,,,,,,0.05644473806023598,,
1962-02-06,0.11007633060216904,0.36627042293548584,,,,,,0.05644473806023598,,
1962-02-07,0.11103971302509308,0.3735635280609131,,,,,,0.05644473806023598,,
1962-02-08,0.11103971302509308,0.37518414855003357,,,,,,0.05644473806023598,,
1962-02-09,0.10977216064929962,0.3784255087375641,,,,,,0.05716230347752571,,
1962-02-12,0.11002569645643234,0.38247716426849365,,,,,,0.05704275891184807,,
1962-02-13,0.10926516354084015,0.38166674971580505,,,,,,0.05704275891184807,,
1962-02-14,0.11053267121315002,0.3808567225933075,,,,,,0.05668020248413086,,
1962-02-15,0.11078611016273499,0.38247716426849365,,,,,,0.05655938386917114,,
1962-02-16,0.11103971302509308,0.3857186436653137,,,,,,0.055592477321624756,,
1962-02-19,0.11281426250934601,0.38652902841567993,,,,,,0.05607590451836586,,
1962-02-20,0.11332137137651443,0.38652902841567993,,,,,,0.05619676411151886,,
1962-02-21,0.11154667288064957,0.38328757882118225,,,,,,0.05668020248413086,,
1962-02-23,0.11180023103952408,0.38166674971580505,,,,,,0.056317564100027084,,
1962-02-26,0.11103971302509308,0.3792359232902527,,,,,,0.05619676411151886,,
1962-02-27,0.1120537593960762,0.38247716426849365,,,,,,0.05643845349550247,,
1962-02-28,0.11230722814798355,0.3792359232902527,,,,,,0.05643845349550247,,
1962-03-01,0.11306778341531754,0.3808567225933075,,,,,,0.05655938386917114,,
1962-03-02,0.1120537593960762,0.3808567225933075,,,,,,0.05619676411151886,,
1962-03-05,0.11154667288064957,0.3808567225933075,,,,,,0.05680102854967117,,
1962-03-06,0.11129322648048401,0.3776153028011322,,,,,,0.05704275891184807,,
1962-03-07,0.11078611016273499,0.3768046200275421,,,,,,0.05607590451836586,,
1962-03-08,0.10901156812906265,0.375994473695755,,,,,,0.05619676411151886,,
1962-03-09,0.10977216064929962,0.375994473695755,,,,,,0.05655938386917114,,
1962-03-12,0.10901156812906265,0.3792359232902527,,,,,,0.056317564100027084,,
1962-03-13,0.10926516354084015,0.3776153028011322,,,,,,0.05680102854967117,,
1962-03-14,0.11002569645643234,0.3784255087375641,,,,,,0.05692186951637268,,
1962-03-15,0.11180023103952408,0.3808567225933075,,,,,,0.05680102854967117,,
1962-03-16,0.11129322648048401,0.38328757882118225,,,,,,0.05619676411151886,,
1962-03-19,0.11154667288064957,0.38490819931030273,,,,,,0.056317564100027084,,
1962-03-20,0.11027905344963074,0.3857186436653137,,,,,,0.05668020248413086,,
1962-03-21,0.11002569645643234,0.3840978145599365,,,,,,0.05643845349550247,,
1962-03-22,0.10977216064929962,0.38166674971580505,,,,,,0.05619676411151886,,
1962-03-23,0.11002569645643234,0.3840978145599365,,,,,,0.05595509707927704,,
1962-03-26,0.11002569645643234,0.3768046200275421,,,,,,0.05547165498137474,,
1962-03-27,0.11002569645643234,0.3784255087375641,,,,,,0.05607590451836586,,
1962-03-28,0.11103971302509308,0.38166674971580505,,,,,,0.055592477321624756,,
1962-03-29,0.11103971302509308,0.3800460696220398,,,,,,0.05535079166293144,,
1962-03-30,0.11078611016273499,0.38166674971580505,,,,,,0.054988279938697815,,
1962-04-02,0.11078611016273499,0.3784255087375641,,,,,,0.0542631521821022,,
1962-04-03,0.10926516354084015,0.375994473695755,,,,,,0.05414224788546562,,
1962-04-04,0.10799742490053177,0.375994473695755,,,,,,0.05438398942351341,,
1962-04-05,0.1085045114159584,0.375994473695755,,,,,,0.05462568998336792,,
