,date,XOM,CVX,SHEL,TTE,COP,EQNR,BP,ENB,PTR,PBR
0,1962-01-02,0.10130029171705246,0.35568439960479736,,,,,0.05237883701920509,,,
1,1962-01-03,0.1028047576546669,0.3548811674118042,,,,,0.05309633910655975,,,
2,1962-01-04,0.1030554324388504,0.3516698181629181,,,,,0.05213972553610802,,,
3,1962-01-05,0.1007988452911377,0.34283795952796936,,,,,0.05070461705327034,,,
4,1962-01-08,0.10054801404476166,0.3412321209907532,,,,,0.051661353558301926,,,
5,1962-01-09,0.10029735416173935,0.34604915976524353,,,,,0.05178090184926987,,,
6,1962-01-10,0.09979582577943802,0.34604915976524353,,,,,0.051661353558301926,,,
7,1962-01-11,0.1007988452911377,0.3548811674118042,,,,,0.05213972553610802,,,
8,1962-01-12,0.10230324417352676,0.3540782332420349,,,,,0.05237883701920509,,,
9,1962-01-15,0.10230324417352676,0.34845805168151855,,,,,0.0520201250910759,,,
10,1962-01-16,0.10155098140239716,0.34926077723503113,,,,,0.05249841883778572,,,
11,1962-01-17,0.10104957967996597,0.3468526005744934,,,,,0.05213972553610802,,,
12,1962-01-18,0.10130029171705246,0.3516698181629181,,,,,0.05178090184926987,,,
13,1962-01-19,0.10205258429050446,0.3500637412071228,,,,,0.05249841883778572,,,
14,1962-01-22,0.10230324417352676,0.3516698181629181,,,,,0.0520201250910759,,,
15,1962-01-23,0.10155098140239716,0.34926077723503113,,,,,0.05225927382707596,,,
16,1962-01-24,0.10155098140239716,0.34765517711639404,,,,,0.05213972553610802,,,
17,1962-01-25,0.1018018126487732,0.34845805168151855,,,,,0.05213972553610802,,,
18,1962-01-26,0.10230324417352676,0.35086682438850403,,,,,0.05333554372191429,,,
19,1962-01-29,0.10380774736404419,0.34845805168151855,,,,,0.05309633910655975,,,
20,1962-01-30,0.10481070727109909,0.3500637412071228,,,,,0.05357469990849495,,,
21,1962-01-31,0.10631520301103592,0.3508741855621338,,,,,0.05333554372191429,,,
22,1962-02-01,0.10832105576992035,0.3589778244495392,,,,,0.05345512554049492,,,
23,1962-02-02,0.11057768017053604,0.37599441409111023,,,,,0.05596650019288063,,,
24,1962-02-05,0.11158068478107452,0.36951175332069397,,,,,0.05644478276371956,,,
25,1962-02-06,0.11007629334926605,0.36627036333084106,,,,,0.05644478276371956,,,
26,1962-02-07,0.11103969812393188,0.37356361746788025,,,,,0.05644478276371956,,,
27,1962-02-08,0.11103969812393188,0.37518414855003357,,,,,0.05644478276371956,,,
28,1962-02-09,0.10977212339639664,0.3784254491329193,,,,,0.05716235190629959,,,
29,1962-02-12,0.11002562195062637,0.38247713446617126,,,,,0.057042740285396576,,,
30,1962-02-13,0.10926511883735657,0.3816668391227722,,,,,0.057042744010686874,,,
31,1962-02-14,0.11053262650966644,0.3808565139770508,,,,,0.056680209934711456,,,
32,1962-02-15,0.11078618466854095,0.38247713446617126,,,,,0.056559380143880844,,,
33,1962-02-16,0.11103969812393188,0.3857184946537018,,,,,0.05559246987104416,,,
34,1962-02-19,0.11281424015760422,0.3865288197994232,,,,,0.05607595294713974,,,
35,1962-02-20,0.11332123726606369,0.3865288197994232,,,,,0.05619671568274498,,,
36,1962-02-21,0.11154671758413315,0.3832875192165375,,,,,0.056680209934711456,,,
37,1962-02-23,0.11180014908313751,0.3816668391227722,,,,,0.05631762742996216,,,
38,1962-02-26,0.11103969812393188,0.37923580408096313,,,,,0.05619671568274498,,,
39,1962-02-27,0.1120537519454956,0.38247713446617126,,,,,0.056438419967889786,,,
40,1962-02-28,0.11230717599391937,0.37923580408096313,,,,,0.056438419967889786,,,
41,1962-03-01,0.11306776106357574,0.3808565139770508,,,,,0.056559380143880844,,,
42,1962-03-02,0.1120537519454956,0.3808565139770508,,,,,0.05619671568274498,,,
43,1962-03-05,0.11154671758413315,0.3808565139770508,,,,,0.05680104345083237,,,
44,1962-03-06,0.11129319667816162,0.37761521339416504,,,,,0.057042744010686874,,,
45,1962-03-07,0.11078618466854095,0.37680450081825256,,,,,0.05607595294713974,,,
46,1962-03-08,0.10901158303022385,0.37599441409111023,,,,,0.05619671568274498,,,
47,1962-03-09,0.10977212339639664,0.37599441409111023,,,,,0.056559380143880844,,,
48,1962-03-12,0.10901158303022385,0.37923580408096313,,,,,0.05631762742996216,,,
49,1962-03-13,0.10926511883735657,0.37761521339416504,,,,,0.05680104345083237,,,
50,1962-03-14,0.11002562195062637,0.3784254491329193,,,,,0.05692186579108238,,,
51,1962-03-15,0.11180014908313751,0.3808565139770508,,,,,0.05680104345083237,,,
52,1962-03-16,0.11129319667816162,0.3832875192165375,,,,,0.05619671568274498,,,
53,1962-03-19,0.11154671758413315,0.3849080801010132,,,,,0.05631762742996216,,,
54,1962-03-20,0.11027906090021133,0.3857184946537018,,,,,0.056680209934711456,,,
55,1962-03-21,0.11002562195062637,0.384098082780838,,,,,0.056438419967889786,,,
56,1962-03-22,0.10977212339639664,0.3816668391227722,,,,,0.05619671568274498,,,
57,1962-03-23,0.11002562195062637,0.384098082780838,,,,,0.05595509335398674,,,
58,1962-03-26,0.11002562195062637,0.37680450081825256,,,,,0.05547167360782623,,,
59,1962-03-27,0.11002562195062637,0.3784254491329193,,,,,0.05607595294713974,,,
60,1962-03-28,0.11103969812393188,0.3816668391227722,,,,,0.05559246987104416,,,
61,1962-03-29,0.11103969812393188,0.380046010017395,,,,,0.05535082519054413,,,
62,1962-03-30,0.11078618466854095,0.3816668391227722,,,,,0.05498829111456871,,,
63,1962-04-02,0.11078618466854095,0.3784254491329193,,,,,0.054263148456811905,,,
