Date,enb
1984-03-15,0.20833374559879303
1984-03-16,0.20833374559879303
1984-03-19,0.20833374559879303
1984-03-20,0.20833374559879303
1984-03-21,0.19886398315429688
1984-03-22,0.19886398315429688
1984-03-23,0.19886398315429688
1984-03-26,0.19886398315429688
1984-03-27,0.19886398315429688
1984-03-28,0.19886398315429688
1984-03-29,0.19886398315429688
1984-03-30,0.19886398315429688
1984-04-02,0.19886398315429688
1984-04-03,0.19886398315429688
1984-04-04,0.19886398315429688
1984-04-05,0.19886398315429688
1984-04-06,0.19886398315429688
1984-04-09,0.19886398315429688
1984-04-10,0.19886398315429688
1984-04-11,0.19886398315429688
1984-04-12,0.19886398315429688
1984-04-13,0.19886398315429688
1984-04-16,0.19886398315429688
1984-04-17,0.19886398315429688
1984-04-18,0.19886398315429688
1984-04-19,0.19886398315429688
1984-04-23,0.19886398315429688
1984-04-24,0.19886398315429688
1984-04-25,0.19649653136730194
1984-04-26,0.19649653136730194
1984-04-27,0.19649653136730194
1984-04-30,0.19649653136730194
1984-05-01,0.19649653136730194
1984-05-02,0.19649653136730194
1984-05-03,0.19649653136730194
1984-05-04,0.19649653136730194
1984-05-07,0.19649653136730194
1984-05-08,0.18229185044765472
1984-05-09,0.18229185044765472
1984-05-10,0.19176171720027924
1984-05-11,0.19176171720027924
1984-05-14,0.19176171720027924
1984-05-15,0.19412904977798462
1984-05-16,0.19412904977798462
1984-05-17,0.19649653136730194
1984-05-18,0.19886398315429688
1984-05-21,0.19649653136730194
1984-05-22,0.18939416110515594
1984-05-23,0.18939416110515594
1984-05-24,0.18939416110515594
1984-05-25,0.18821054697036743
1984-05-29,0.18821054697036743
1984-05-30,0.18821054697036743
1984-05-31,0.18821054697036743
1984-06-01,0.19412904977798462
1984-06-04,0.19412904977798462
1984-06-05,0.19412904977798462
1984-06-06,0.19412904977798462
1984-06-07,0.19412904977798462
1984-06-08,0.19412904977798462
1984-06-11,0.19412904977798462
1984-06-12,0.19412904977798462
1984-06-13,0.19412904977798462
1984-06-14,0.19649653136730194
1984-06-15,0.19649653136730194
1984-06-18,0.19649653136730194
1984-06-19,0.19649653136730194
1984-06-20,0.19649653136730194
1984-06-21,0.19649653136730194
1984-06-22,0.2035987824201584
1984-06-25,0.2035987824201584
1984-06-26,0.2035987824201584
1984-06-27,0.20478248596191406
1984-06-28,0.20478248596191406
1984-06-29,0.20596635341644287
1984-07-02,0.20596635341644287
1984-07-03,0.20596635341644287
1984-07-05,0.20596635341644287
1984-07-06,0.20596635341644287
1984-07-09,0.20596635341644287
1984-07-10,0.20596635341644287
1984-07-11,0.20596635341644287
1984-07-12,0.20596635341644287
1984-07-13,0.2035987824201584
1984-07-16,0.20833374559879303
1984-07-17,0.2071499526500702
1984-07-18,0.2071499526500702
1984-07-19,0.2071499526500702
1984-07-20,0.2071499526500702
1984-07-23,0.2071499526500702
1984-07-24,0.2071499526500702
1984-07-25,0.2071499526500702
1984-07-26,0.2071499526500702
1984-07-27,0.2071499526500702
1984-07-30,0.2071499526500702
1984-07-31,0.2071499526500702
1984-08-01,0.2071499526500702
1984-08-02,0.2071499526500702
1984-08-03,0.2071499526500702
1984-08-06,0.2071499526500702
1984-08-07,0.2071499526500702
1984-08-08,0.2071499526500702
1984-08-09,0.2071499526500702
1984-08-10,0.22372184693813324
1984-08-13,0.22372184693813324
1984-08-14,0.22372184693813324
1984-08-15,0.22372184693813324
1984-08-16,0.22372184693813324
1984-08-17,0.22372184693813324
1984-08-20,0.22372184693813324
1984-08-21,0.22372184693813324
1984-08-22,0.22372184693813324
1984-08-23,0.22372184693813324
1984-08-24,0.22372184693813324
1984-08-27,0.22372184693813324
1984-08-28,0.22372184693813324
1984-08-29,0.22964055836200714
1984-08-30,0.22964055836200714
1984-08-31,0.23082423210144043
1984-09-04,0.2320079654455185
1984-09-05,0.2320079654455185
1984-09-06,0.23082423210144043
1984-09-07,0.22964055836200714
1984-09-10,0.22964055836200714
1984-09-11,0.22964055836200714
1984-09-12,0.22964055836200714
1984-09-13,0.22964055836200714
1984-09-14,0.22964055836200714
1984-09-17,0.22964055836200714
1984-09-18,0.23437540233135223
1984-09-19,0.23437540233135223
1984-09-20,0.23437540233135223
1984-09-21,0.23437540233135223
1984-09-24,0.23437540233135223
1984-09-25,0.23437540233135223
1984-09-26,0.23437540233135223
1984-09-27,0.23437540233135223
1984-09-28,0.23437540233135223
1984-10-01,0.23437540233135223
1984-10-02,0.23437540233135223
1984-10-03,0.23437540233135223
1984-10-04,0.23437540233135223
1984-10-05,0.2249058485031128
1984-10-08,0.2249058485031128
1984-10-09,0.2249058485031128
1984-10-10,0.2249058485031128
1984-10-11,0.2249058485031128
1984-10-12,0.2249058485031128
1984-10-15,0.2249058485031128
1984-10-16,0.2201707810163498
1984-10-17,0.2201707810163498
1984-10-18,0.2201707810163498
1984-10-19,0.2201707810163498
1984-10-22,0.22372184693813324
1984-10-23,0.22372184693813324
1984-10-24,0.22372184693813324
1984-10-25,0.22372184693813324
1984-10-26,0.22372184693813324
1984-10-29,0.22372184693813324
1984-10-30,0.22372184693813324
1984-10-31,0.22372184693813324
1984-11-01,0.2249058485031128
1984-11-02,0.2249058485031128
1984-11-05,0.22608932852745056
1984-11-06,0.22964055836200714
1984-11-07,0.22964055836200714
1984-11-08,0.22964055836200714
1984-11-09,0.22964055836200714
1984-11-12,0.2249058485031128
1984-11-13,0.2249058485031128
1984-11-14,0.2249058485031128
1984-11-15,0.2249058485031128
1984-11-16,0.22727300226688385
1984-11-19,0.22727300226688385
