Date,rydaf
2008-06-25,18.894548416137695
2008-06-26,18.894548416137695
2008-06-27,19.299602508544922
2008-06-30,19.299602508544922
2008-07-01,19.299602508544922
2008-07-02,19.299602508544922
2008-07-03,19.299602508544922
2008-07-07,19.299602508544922
2008-07-08,19.299602508544922
2008-07-09,19.299602508544922
2008-07-10,19.299602508544922
2008-07-11,18.20357322692871
2008-07-14,18.20357322692871
2008-07-15,17.631736755371094
2008-07-16,17.05989646911621
2008-07-17,17.655563354492188
2008-07-18,17.05989646911621
2008-07-21,17.20285415649414
2008-07-22,17.20285415649414
2008-07-23,17.512605667114258
2008-07-24,17.274333953857422
2008-07-25,17.274333953857422
2008-07-28,17.393465042114258
2008-07-29,17.393465042114258
2008-07-30,17.42682647705078
2008-07-31,17.040830612182617
2008-08-01,17.040830612182617
2008-08-04,16.597654342651367
2008-08-05,16.55953025817871
2008-08-06,16.55953025817871
2008-08-07,16.55953025817871
2008-08-08,16.0782413482666
2008-08-11,16.083003997802734
2008-08-12,16.083003997802734
2008-08-13,15.940042495727539
2008-08-14,15.940042495727539
2008-08-15,15.940042495727539
2008-08-18,16.130659103393555
2008-08-19,16.130659103393555
2008-08-20,16.130659103393555
2008-08-21,16.130659103393555
2008-08-22,16.130659103393555
2008-08-25,16.130659103393555
2008-08-26,16.27362060546875
2008-08-27,16.678668975830078
2008-08-28,16.702495574951172
2008-08-29,16.702495574951172
2008-09-02,15.916211128234863
2008-09-03,15.916211128234863
2008-09-04,15.916211128234863
2008-09-05,14.34365177154541
2008-09-08,14.772530555725098
2008-09-09,14.772530555725098
2008-09-10,14.772530555725098
2008-09-11,14.772530555725098
2008-09-12,14.79636287689209
2008-09-15,14.296006202697754
2008-09-16,14.296006202697754
2008-09-17,14.296006202697754
2008-09-18,13.843297004699707
2008-09-19,14.319826126098633
2008-09-22,14.319826126098633
2008-09-23,15.320545196533203
2008-09-24,15.320545196533203
2008-09-25,15.320545196533203
2008-09-26,15.320545196533203
2008-09-29,15.320545196533203
2008-09-30,13.581201553344727
2008-10-01,13.414410591125488
2008-10-02,13.414410591125488
2008-10-03,13.414410591125488
2008-10-06,13.414410591125488
2008-10-07,13.414410591125488
2008-10-08,11.984813690185547
2008-10-09,11.984813690185547
2008-10-10,11.317667007446289
2008-10-13,11.317667007446289
2008-10-14,11.317667007446289
2008-10-15,11.174711227416992
2008-10-16,11.0794038772583
2008-10-17,12.056294441223145
2008-10-20,12.628129005432129
2008-10-21,12.628129005432129
2008-10-22,11.317667007446289
2008-10-23,11.794200897216797
2008-10-24,11.19853401184082
2008-10-27,11.19853401184082
2008-10-28,11.19853401184082
2008-10-29,12.985535621643066
2008-10-30,12.985535621643066
2008-10-31,12.723441123962402
2008-11-03,12.723441123962402
2008-11-04,12.723441123962402
2008-11-05,12.723441123962402
2008-11-06,13.123729705810547
2008-11-07,13.123729705810547
2008-11-10,13.123729705810547
2008-11-11,13.123729705810547
2008-11-12,11.317667007446289
2008-11-13,11.317667007446289
2008-11-14,11.675065994262695
2008-11-17,11.675065994262695
2008-11-18,11.675065994262695
2008-11-19,11.675065994262695
2008-11-20,10.850662231445312
2008-11-21,10.46467113494873
2008-11-24,10.46467113494873
2008-11-25,12.437522888183594
2008-11-26,12.246910095214844
2008-11-28,12.246910095214844
2008-12-01,11.794200897216797
2008-12-02,11.794200897216797
2008-12-03,11.794200897216797
2008-12-04,11.555932998657227
2008-12-05,11.555932998657227
2008-12-08,11.555932998657227
2008-12-09,11.913335800170898
2008-12-10,11.913335800170898
2008-12-11,11.913335800170898
2008-12-12,12.103950500488281
2008-12-15,12.103950500488281
2008-12-16,12.103950500488281
2008-12-17,12.103950500488281
2008-12-18,13.057016372680664
2008-12-19,13.057016372680664
2008-12-22,13.057016372680664
2008-12-23,13.057016372680664
2008-12-24,12.389867782592773
2008-12-26,12.389867782592773
2008-12-29,12.389867782592773
2008-12-30,12.275500297546387
2008-12-31,12.275500297546387
2009-01-02,12.275500297546387
2009-01-05,13.1046724319458
2009-01-06,13.390588760375977
2009-01-07,13.390588760375977
2009-01-08,13.390588760375977
2009-01-09,12.818742752075195
2009-01-12,12.818742752075195
2009-01-13,12.818742752075195
2009-01-14,11.484457015991211
2009-01-15,11.484457015991211
2009-01-16,11.484457015991211
2009-01-20,11.484457015991211
2009-01-21,11.484457015991211
2009-01-22,11.298604965209961
2009-01-23,11.298604965209961
2009-01-26,11.675065994262695
2009-01-27,11.675065994262695
2009-01-28,12.19925308227539
2009-01-29,12.19925308227539
2009-01-30,11.770373344421387
2009-02-02,11.770373344421387
2009-02-03,11.865681648254395
2009-02-04,12.059406280517578
2009-02-05,12.146585464477539
2009-02-06,12.146585464477539
2009-02-09,12.146585464477539
2009-02-10,12.146585464477539
2009-02-11,12.059406280517578
2009-02-12,12.059406280517578
2009-02-13,12.059406280517578
2009-02-17,11.889894485473633
2009-02-18,11.865681648254395
2009-02-19,11.865681648254395
2009-02-20,11.865681648254395
2009-02-23,11.865681648254395
2009-02-24,11.14405632019043
2009-02-25,11.14405632019043
2009-02-26,10.897055625915527
2009-02-27,10.509604454040527
2009-03-02,9.904208183288574
2009-03-03,9.560348510742188
2009-03-04,9.560348510742188
2009-03-05,9.63784122467041
2009-03-06,9.63784122467041
2009-03-09,9.63784122467041
2009-03-10,9.63784122467041
2009-03-11,9.63784122467041
2009-03-12,9.63784122467041
2009-03-13,9.63784122467041
2009-03-16,9.63784122467041
2009-03-17,11.139211654663086
2009-03-18,11.139211654663086
2009-03-19,11.139211654663086
2009-03-20,11.114995002746582
