Date,tte
1991-10-25,3.1668508052825928
1991-10-28,3.1106340885162354
1991-10-29,3.091895341873169
1991-10-30,3.1668508052825928
1991-10-31,3.335500955581665
1991-11-01,3.354238510131836
1991-11-04,3.335500955581665
1991-11-05,3.2792835235595703
1991-11-06,3.2792835235595703
1991-11-07,3.447932720184326
1991-11-08,3.391716241836548
1991-11-11,3.391716241836548
1991-11-12,3.5228872299194336
1991-11-13,3.6540591716766357
1991-11-14,3.803969144821167
1991-11-15,3.5228872299194336
1991-11-18,3.6540591716766357
1991-11-19,3.5416266918182373
1991-11-20,3.4666717052459717
1991-11-21,3.447932720184326
1991-11-22,3.410454273223877
1991-11-25,3.391716241836548
1991-11-26,3.4666717052459717
1991-11-27,3.447932720184326
1991-11-29,3.710275173187256
1991-12-02,3.710275173187256
1991-12-03,3.6165826320648193
1991-12-04,3.5228872299194336
1991-12-05,3.410454273223877
1991-12-06,3.4666717052459717
1991-12-09,3.2980220317840576
1991-12-10,3.22306752204895
1991-12-11,3.2043280601501465
1991-12-12,3.3729772567749023
1991-12-13,3.335500955581665
1991-12-16,3.354238510131836
1991-12-17,3.2980220317840576
1991-12-18,3.354238510131836
1991-12-19,3.2980220317840576
1991-12-20,3.316760778427124
1991-12-23,3.316760778427124
1991-12-24,3.316760778427124
1991-12-26,3.3729772567749023
1991-12-27,3.410454273223877
1991-12-30,3.5041494369506836
1991-12-31,3.5416266918182373
1992-01-02,3.6353201866149902
1992-01-03,3.710275173187256
1992-01-06,3.710275173187256
1992-01-07,3.597841262817383
1992-01-08,3.5416266918182373
1992-01-09,3.6165826320648193
1992-01-10,3.429192304611206
1992-01-13,3.597841262817383
1992-01-14,3.7477524280548096
1992-01-15,3.7477524280548096
1992-01-16,3.672797441482544
1992-01-17,3.7664906978607178
1992-01-20,3.803969144821167
1992-01-21,3.7852303981781006
1992-01-22,3.6915371417999268
1992-01-23,3.6165826320648193
1992-01-24,3.672797441482544
1992-01-27,3.5791032314300537
1992-01-28,3.6165826320648193
1992-01-29,3.5603647232055664
1992-01-30,3.485410690307617
1992-01-31,3.410454273223877
1992-02-03,3.5416266918182373
1992-02-04,3.5041494369506836
1992-02-05,3.5791032314300537
1992-02-06,3.6540591716766357
1992-02-07,3.672797441482544
1992-02-10,3.672797441482544
1992-02-11,3.6165826320648193
1992-02-12,3.5603647232055664
1992-02-13,3.5041494369506836
1992-02-14,3.485410690307617
1992-02-18,3.3729772567749023
1992-02-19,3.429192304611206
1992-02-20,3.4666717052459717
1992-02-21,3.354238510131836
1992-02-24,3.3729772567749023
1992-02-25,3.316760778427124
1992-02-26,3.335500955581665
1992-02-27,3.2792835235595703
1992-02-28,3.2043280601501465
1992-03-02,3.2980220317840576
1992-03-03,3.2605440616607666
1992-03-04,3.2043280601501465
1992-03-05,3.129373788833618
1992-03-06,3.1106340885162354
1992-03-09,3.1481130123138428
1992-03-10,3.18558931350708
1992-03-11,3.18558931350708
1992-03-12,3.129373788833618
1992-03-13,3.1668508052825928
1992-03-16,3.0544188022613525
1992-03-17,3.129373788833618
1992-03-18,3.073157548904419
1992-03-19,3.0544188022613525
1992-03-20,2.998202085494995
1992-03-23,2.941986322402954
1992-03-24,2.979463815689087
1992-03-25,3.091895341873169
1992-03-26,3.091895341873169
1992-03-27,3.1106340885162354
1992-03-30,3.1106340885162354
1992-03-31,3.129373788833618
1992-04-01,3.091895341873169
1992-04-02,3.073157548904419
1992-04-03,3.1668508052825928
1992-04-06,3.2980220317840576
1992-04-07,3.2792835235595703
1992-04-08,3.2792835235595703
1992-04-09,3.335500955581665
1992-04-10,3.335500955581665
1992-04-13,3.354238510131836
1992-04-14,3.3729772567749023
1992-04-15,3.410454273223877
1992-04-16,3.354238510131836
1992-04-20,3.335500955581665
1992-04-21,3.335500955581665
1992-04-22,3.2792835235595703
1992-04-23,3.22306752204895
1992-04-24,3.2792835235595703
1992-04-27,3.3729772567749023
1992-04-28,3.485410690307617
1992-04-29,3.5416266918182373
1992-04-30,3.5791032314300537
1992-05-01,3.6540591716766357
1992-05-04,3.672797441482544
1992-05-05,3.6540591716766357
1992-05-06,3.6165826320648193
1992-05-07,3.6353201866149902
1992-05-08,3.6540591716766357
1992-05-11,3.672797441482544
1992-05-12,3.6915371417999268
1992-05-13,3.729013442993164
1992-05-14,3.672797441482544
1992-05-15,3.597841262817383
1992-05-18,3.447932720184326
1992-05-19,3.5041494369506836
1992-05-20,3.5228872299194336
1992-05-21,3.485410690307617
1992-05-22,3.6165826320648193
1992-05-26,3.822707176208496
1992-05-27,3.6540591716766357
1992-05-28,3.672797441482544
1992-05-29,3.6915371417999268
1992-06-01,3.672797441482544
1992-06-02,3.6353201866149902
1992-06-03,3.5603647232055664
1992-06-04,3.597841262817383
1992-06-05,3.6540591716766357
1992-06-08,3.6165826320648193
1992-06-09,3.6353201866149902
1992-06-10,3.5989322662353516
1992-06-11,3.6180763244628906
1992-06-12,3.579789638519287
1992-06-15,3.4266433715820312
1992-06-16,3.4266433715820312
1992-06-17,3.4266433715820312
1992-06-18,3.407501459121704
1992-06-19,3.407501459121704
1992-06-22,3.369213342666626
1992-06-23,3.3309266567230225
1992-06-24,3.369213342666626
1992-06-25,3.369213342666626
1992-06-26,3.4266433715820312
1992-06-29,3.5415031909942627
1992-06-30,3.48407244682312
1992-07-01,3.445786476135254
1992-07-02,3.4649295806884766
1992-07-06,3.5032150745391846
1992-07-07,3.522359848022461
1992-07-08,3.5606467723846436
1992-07-09,3.522359848022461
1992-07-10,3.5989322662353516
