Date,bp
1962-01-02,0.05237884819507599
1962-01-03,0.05309635400772095
1962-01-04,0.052139684557914734
1962-01-05,0.05070463940501213
1962-01-08,0.05166133865714073
1962-01-09,0.05178088694810867
1962-01-10,0.05166133865714073
1962-01-11,0.052139684557914734
1962-01-12,0.05237884819507599
1962-01-15,0.05202014744281769
1962-01-16,0.05249845236539841
1962-01-17,0.052139684557914734
1962-01-18,0.05178088694810867
1962-01-19,0.05249845236539841
1962-01-22,0.05202014744281769
1962-01-23,0.05225928872823715
1962-01-24,0.052139684557914734
1962-01-25,0.052139684557914734
1962-01-26,0.053335558623075485
1962-01-29,0.05309635400772095
1962-01-30,0.05357466638088226
1962-01-31,0.053335558623075485
1962-02-01,0.05345510318875313
1962-02-02,0.05596644803881645
1962-02-05,0.05644480884075165
1962-02-06,0.05644480884075165
1962-02-07,0.05644480884075165
1962-02-08,0.05644480884075165
1962-02-09,0.057162296026945114
1962-02-12,0.05704277753829956
1962-02-13,0.05704277753829956
1962-02-14,0.056680191308259964
1962-02-15,0.056559402495622635
1962-02-16,0.05559248477220535
1962-02-19,0.05607591196894646
1962-02-20,0.05619673430919647
1962-02-21,0.056680191308259964
1962-02-23,0.05631763115525246
1962-02-26,0.05619673430919647
1962-02-27,0.05643843114376068
1962-02-28,0.05643843114376068
1962-03-01,0.056559402495622635
1962-03-02,0.05619673430919647
1962-03-05,0.05680108442902565
1962-03-06,0.05704277753829956
1962-03-07,0.05607591196894646
1962-03-08,0.05619673430919647
1962-03-09,0.056559402495622635
1962-03-12,0.05631763115525246
1962-03-13,0.05680108442902565
1962-03-14,0.05692189931869507
1962-03-15,0.05680108442902565
1962-03-16,0.05619673430919647
1962-03-19,0.05631763115525246
1962-03-20,0.056680191308259964
1962-03-21,0.05643843114376068
1962-03-22,0.05619673430919647
1962-03-23,0.05595508962869644
1962-03-26,0.05547160655260086
1962-03-27,0.05607591196894646
1962-03-28,0.05559248477220535
1962-03-29,0.05535075441002846
1962-03-30,0.054988253861665726
1962-04-02,0.054263148456811905
1962-04-03,0.054142262786626816
1962-04-04,0.05438399687409401
1962-04-05,0.05462563782930374
1962-04-06,0.054142262786626816
1962-04-09,0.05402141436934471
1962-04-10,0.054142262786626816
1962-04-11,0.05390051379799843
1962-04-12,0.05329624190926552
1962-04-13,0.05365884304046631
1962-04-16,0.05329624190926552
1962-04-17,0.05365884304046631
1962-04-18,0.05341718718409538
1962-04-19,0.054142262786626816
1962-04-23,0.054142262786626816
1962-04-24,0.054142262786626816
1962-04-25,0.053779684007167816
1962-04-26,0.05365884304046631
1962-04-27,0.0524502694606781
1962-04-30,0.05063752084970474
1962-05-01,0.05148347467184067
1962-05-02,0.05100010335445404
1962-05-03,0.050758376717567444
1962-05-04,0.05051673948764801
1962-05-07,0.05100010335445404
1962-05-08,0.05148347467184067
1962-05-09,0.05003323405981064
1962-05-10,0.04991237074136734
1962-05-11,0.05063752084970474
1962-05-14,0.04979156330227852
1962-05-15,0.05089264735579491
1962-05-16,0.05113733932375908
1962-05-17,0.051871318370103836
1962-05-18,0.05174897611141205
1962-05-21,0.05211597681045532
1962-05-22,0.05162667855620384
1962-05-23,0.0512596070766449
1962-05-24,0.0510149784386158
1962-05-25,0.050158631056547165
1962-05-28,0.0489351861178875
1962-05-29,0.04832347854971886
1962-05-31,0.049913857132196426
1962-06-01,0.04954686760902405
1962-06-04,0.049913857132196426
1962-06-05,0.05064789578318596
1962-06-06,0.05089264735579491
1962-06-07,0.05040327087044716
1962-06-08,0.05003625899553299
1962-06-11,0.049913857132196426
1962-06-12,0.049913857132196426
1962-06-13,0.04942453280091286
1962-06-14,0.04905751347541809
1962-06-15,0.0489351861178875
1962-06-18,0.04930223524570465
1962-06-19,0.04942453280091286
1962-06-20,0.04930223524570465
1962-06-21,0.04856821894645691
1962-06-22,0.048201121389865875
1962-06-25,0.047222454100847244
1962-06-26,0.04710014536976814
1962-06-27,0.047222454100847244
1962-06-28,0.049179840832948685
1962-06-29,0.04905751347541809
1962-07-02,0.049913857132196426
1962-07-03,0.05040327087044716
1962-07-05,0.04966919496655464
1962-07-06,0.04979155957698822
1962-07-09,0.04966919496655464
1962-07-10,0.05003625899553299
1962-07-11,0.050158631056547165
1962-07-12,0.05064789578318596
1962-07-13,0.05064789578318596
1962-07-16,0.050158631056547165
1962-07-17,0.05040327087044716
1962-07-18,0.049913857132196426
1962-07-19,0.05003625899553299
1962-07-20,0.05040327087044716
1962-07-23,0.04979155957698822
1962-07-24,0.050280965864658356
1962-07-25,0.04979155957698822
1962-07-26,0.05003625899553299
1962-07-27,0.04979155957698822
1962-07-30,0.05040327087044716
1962-07-31,0.05077023804187775
1962-08-01,0.050280965864658356
1962-08-02,0.05052555724978447
1962-08-03,0.050158631056547165
1962-08-06,0.05003625899553299
1962-08-07,0.05052555724978447
1962-08-08,0.05052555724978447
1962-08-09,0.05003625899553299
1962-08-10,0.049913857132196426
1962-08-13,0.05040327087044716
1962-08-14,0.04978403449058533
1962-08-15,0.05052703991532326
1962-08-16,0.04978403449058533
1962-08-17,0.04966018348932266
1962-08-20,0.04990794509649277
1962-08-21,0.04966018348932266
1962-08-22,0.04966018348932266
1962-08-23,0.04990794509649277
1962-08-24,0.04978403449058533
1962-08-27,0.04953635111451149
1962-08-28,0.04953635111451149
1962-08-29,0.04953635111451149
1962-08-30,0.04978403449058533
1962-08-31,0.05003172159194946
1962-09-04,0.04966018348932266
1962-09-05,0.04953635111451149
1962-09-06,0.04966018348932266
1962-09-07,0.04928872734308243
