Date,ptr
2000-04-06,6.325462341308594
2000-04-07,5.844438076019287
2000-04-10,5.844438076019287
2000-04-11,6.20520544052124
2000-04-12,6.0127973556518555
2000-04-13,5.772284030914307
2000-04-14,5.772284030914307
2000-04-17,5.6760783195495605
2000-04-18,5.772284030914307
2000-04-19,5.700129508972168
2000-04-20,5.627976417541504
2000-04-24,5.57987642288208
2000-04-25,5.555825233459473
2000-04-26,5.48367166519165
2000-04-27,5.57987642288208
2000-04-28,5.820385456085205
2000-05-01,5.892540454864502
2000-05-02,5.868489742279053
2000-05-03,5.603925704956055
2000-05-04,5.652027606964111
2000-05-05,5.772284030914307
2000-05-08,5.6760783195495605
2000-05-09,5.772284030914307
2000-05-10,6.20520544052124
2000-05-11,6.373563766479492
2000-05-12,7.215354919433594
2000-05-15,7.311561107635498
2000-05-16,7.455865859985352
2000-05-17,7.263460636138916
2000-05-18,7.960941314697266
2000-05-19,7.984996318817139
2000-05-22,7.792582035064697
2000-05-23,7.0469970703125
2000-05-24,7.119150161743164
2000-05-25,6.734332084655762
2000-05-26,7.263460636138916
2000-05-30,7.479917526245117
2000-05-31,7.744480609893799
2000-06-01,7.888790130615234
2000-06-02,7.936893463134766
2000-06-05,7.6963791847229
2000-06-06,7.7685322761535645
2000-06-07,8.273608207702637
2000-06-08,7.888790130615234
2000-06-09,7.8406877517700195
2000-06-12,8.033096313476562
2000-06-13,8.081197738647461
2000-06-14,8.081197738647461
2000-06-15,8.129300117492676
2000-06-16,8.610323905944824
2000-06-19,8.682475090026855
2000-06-20,8.105249404907227
2000-06-21,8.201451301574707
2000-06-22,8.273608207702637
2000-06-23,8.417915344238281
2000-06-26,8.441967964172363
2000-06-27,8.321710586547852
2000-06-28,8.201451301574707
2000-06-29,8.033096313476562
2000-06-30,8.057147026062012
2000-07-03,8.00904655456543
2000-07-05,7.7685322761535645
2000-07-06,7.8406877517700195
2000-07-07,7.600174427032471
2000-07-10,7.455865859985352
2000-07-11,7.455865859985352
2000-07-12,7.984996318817139
2000-07-13,8.56222152709961
2000-07-14,8.73058032989502
2000-07-17,8.345757484436035
2000-07-18,8.17740249633789
2000-07-19,8.249555587768555
2000-07-20,9.23565673828125
2000-07-21,9.50021743774414
2000-07-24,9.331860542297363
2000-07-25,8.947040557861328
2000-07-26,8.971092224121094
2000-07-27,8.802733421325684
2000-07-28,8.63437271118164
2000-07-31,8.706524848937988
2000-08-01,8.898940086364746
2000-08-02,9.019194602966309
2000-08-03,8.947040557861328
2000-08-04,9.139447212219238
2000-08-07,9.355913162231445
2000-08-08,8.947040557861328
2000-08-09,8.947040557861328
2000-08-10,9.139447212219238
2000-08-11,9.139447212219238
2000-08-14,8.850836753845215
2000-08-15,8.610323905944824
2000-08-16,9.187554359436035
2000-08-17,9.476165771484375
2000-08-18,9.067296981811523
2000-08-21,9.187554359436035
2000-08-22,9.23565673828125
2000-08-23,9.091347694396973
2000-08-24,9.620475769042969
2000-08-25,9.812886238098145
2000-08-28,9.95718765258789
2000-08-29,10.077445983886719
2000-08-30,9.572366714477539
2000-08-31,9.139447212219238
2000-09-01,9.211605072021484
2000-09-05,9.283759117126465
2000-09-06,9.331860542297363
2000-09-07,9.23565673828125
2000-09-08,9.043244361877441
2000-09-11,8.802733421325684
2000-09-12,8.706524848937988
2000-09-13,8.706524848937988
2000-09-14,8.754630088806152
2000-09-15,9.062716484069824
2000-09-18,8.64061450958252
2000-09-19,8.839251518249512
2000-09-20,8.789591789245605
2000-09-21,8.168858528137207
2000-09-22,8.144028663635254
2000-09-25,8.119199752807617
2000-09-26,8.119199752807617
2000-09-27,8.094367027282715
2000-09-28,8.119199752807617
2000-09-29,7.846076488494873
2000-10-02,7.920564651489258
2000-10-03,8.541299819946289
2000-10-04,9.137202262878418
2000-10-05,8.56612777709961
2000-10-06,8.51646900177002
2000-10-09,8.243346214294434
2000-10-10,8.31783390045166
2000-10-11,8.268174171447754
2000-10-12,8.888908386230469
2000-10-13,8.61578369140625
2000-10-16,8.64061450958252
2000-10-17,8.56612777709961
2000-10-18,8.417152404785156
2000-10-19,7.821246147155762
2000-10-20,7.995051383972168
2000-10-23,8.144028663635254
2000-10-24,8.56612777709961
2000-10-25,8.367490768432617
2000-10-26,8.392321586608887
2000-10-27,8.61578369140625
2000-10-30,8.441975593566895
2000-10-31,8.417152404785156
2000-11-01,8.243346214294434
2000-11-02,8.293004989624023
2000-11-03,8.168858528137207
2000-11-06,8.342662811279297
2000-11-07,8.31783390045166
2000-11-08,8.367490768432617
2000-11-09,8.293004989624023
2000-11-10,8.168858528137207
2000-11-13,7.94539213180542
2000-11-14,7.94539213180542
2000-11-15,7.796416282653809
2000-11-16,7.970222473144531
2000-11-17,7.920564651489258
2000-11-20,7.995051383972168
2000-11-21,7.846076488494873
2000-11-22,7.523293495178223
2000-11-24,7.473636627197266
2000-11-27,7.572950839996338
2000-11-28,7.324656963348389
2000-11-29,6.679096698760986
2000-11-30,6.803244590759277
2000-12-01,7.101196765899658
2000-12-04,7.200512886047363
2000-12-05,7.324656963348389
2000-12-06,7.175683975219727
2000-12-07,6.977047443389893
2000-12-08,7.200512886047363
2000-12-11,7.026706695556641
2000-12-12,7.175683975219727
2000-12-13,7.324656963348389
2000-12-14,7.051535606384277
2000-12-15,6.952220439910889
2000-12-18,6.803244590759277
2000-12-19,6.5549516677856445
2000-12-20,6.455632209777832
2000-12-21,6.331486225128174
2000-12-22,6.381143093109131
2000-12-26,6.4804606437683105
2000-12-27,6.5549516677856445
2000-12-28,6.5549516677856445
