Date,xom
1962-01-02,0.10130029171705246
1962-01-03,0.10280479490756989
1962-01-04,0.10305548459291458
1962-01-05,0.1007988229393959
1962-01-08,0.10054801404476166
1962-01-09,0.10029732435941696
1962-01-10,0.0997958779335022
1962-01-11,0.1007988229393959
1962-01-12,0.10230331867933273
1962-01-15,0.10230331867933273
1962-01-16,0.10155104845762253
1962-01-17,0.10104961693286896
1962-01-18,0.10130029171705246
1962-01-19,0.1020524799823761
1962-01-22,0.10230331867933273
1962-01-23,0.10155104845762253
1962-01-24,0.10155104845762253
1962-01-25,0.10180182754993439
1962-01-26,0.10230331867933273
1962-01-29,0.10380774736404419
1962-01-30,0.10481078922748566
1962-01-31,0.10631518065929413
1962-02-01,0.1083211600780487
1962-02-02,0.11057773977518082
1962-02-05,0.11158076673746109
1962-02-06,0.11007626354694366
1962-02-07,0.11103971302509308
1962-02-08,0.11103971302509308
1962-02-09,0.1097719669342041
1962-02-12,0.11002575606107712
1962-02-13,0.1092650443315506
1962-02-14,0.11053262650966644
1962-02-15,0.11078618466854095
1962-02-16,0.11103971302509308
1962-02-19,0.1128142699599266
1962-02-20,0.11332130432128906
1962-02-21,0.11154665797948837
1962-02-23,0.1118001788854599
1962-02-26,0.11103971302509308
1962-02-27,0.11205373704433441
1962-02-28,0.11230727285146713
1962-03-01,0.11306781321763992
1962-03-02,0.11205373704433441
1962-03-05,0.11154665797948837
1962-03-06,0.11129314452409744
1962-03-07,0.11078618466854095
1962-03-08,0.10901156812906265
1962-03-09,0.1097719669342041
1962-03-12,0.10901156812906265
1962-03-13,0.1092650443315506
1962-03-14,0.11002575606107712
1962-03-15,0.1118001788854599
1962-03-16,0.11129314452409744
1962-03-19,0.11154665797948837
1962-03-20,0.1102791354060173
1962-03-21,0.11002575606107712
1962-03-22,0.1097719669342041
1962-03-23,0.11002575606107712
1962-03-26,0.11002575606107712
1962-03-27,0.11002575606107712
1962-03-28,0.11103971302509308
1962-03-29,0.11103971302509308
1962-03-30,0.11078618466854095
1962-04-02,0.11078618466854095
1962-04-03,0.1092650443315506
1962-04-04,0.10799748450517654
1962-04-05,0.108504518866539
1962-04-06,0.10799748450517654
1962-04-09,0.10596944391727448
1962-04-10,0.10799748450517654
1962-04-11,0.10799748450517654
1962-04-12,0.10672993212938309
1962-04-13,0.10799748450517654
1962-04-16,0.1077439934015274
1962-04-17,0.1092650443315506
1962-04-18,0.11078618466854095
1962-04-19,0.11205373704433441
1962-04-23,0.11256080865859985
1962-04-24,0.11256080865859985
1962-04-25,0.11332130432128906
1962-04-26,0.1118001788854599
1962-04-27,0.11103971302509308
1962-04-30,0.108504518866539
1962-05-01,0.1102791354060173
1962-05-02,0.11129314452409744
1962-05-03,0.11154665797948837
1962-05-04,0.11154665797948837
1962-05-07,0.11129314452409744
1962-05-08,0.11129314452409744
1962-05-09,0.11072938144207001
1962-05-10,0.10944774746894836
1962-05-11,0.10790978372097015
1962-05-14,0.1071409061551094
1962-05-15,0.11021667718887329
1962-05-16,0.11021667718887329
1962-05-17,0.10919138044118881
1962-05-18,0.10944774746894836
1962-05-21,0.10867875069379807
1962-05-22,0.10765343904495239
1962-05-23,0.10637176781892776
1962-05-24,0.10688450932502747
1962-05-25,0.10457774251699448
1962-05-28,0.09432496875524521
1962-05-29,0.10432132333517075
1962-05-31,0.1066281870007515
1962-06-01,0.10483391582965851
1962-06-04,0.10201455652713776
1962-06-05,0.10406505316495895
1962-06-06,0.10560289025306702
1962-06-07,0.10611558705568314
1962-06-08,0.10534659773111343
1962-06-11,0.10457774251699448
1962-06-12,0.10175818204879761
1962-06-13,0.10201455652713776
1962-06-14,0.10073288530111313
1962-06-15,0.10252713412046432
1962-06-18,0.10303975641727448
1962-06-19,0.10227079689502716
1962-06-20,0.10175818204879761
1962-06-21,0.1009892150759697
1962-06-22,0.0999639481306076
1962-06-25,0.09945130348205566
1962-06-26,0.09893874824047089
1962-06-27,0.10022027045488358
1962-06-28,0.10227079689502716
1962-06-29,0.10252713412046432
1962-07-02,0.10278338193893433
1962-07-03,0.10252713412046432
1962-07-05,0.10303975641727448
1962-07-06,0.10303975641727448
1962-07-09,0.10303975641727448
1962-07-10,0.10483391582965851
1962-07-11,0.10611558705568314
1962-07-12,0.10637176781892776
1962-07-13,0.10637176781892776
1962-07-16,0.1066281870007515
1962-07-17,0.10509034246206284
1962-07-18,0.10509034246206284
1962-07-19,0.10560289025306702
1962-07-20,0.10585924237966537
1962-07-23,0.10585924237966537
1962-07-24,0.10611558705568314
1962-07-25,0.10637176781892776
1962-07-26,0.1066281870007515
1962-07-27,0.10637176781892776
1962-07-30,0.10688450932502747
1962-07-31,0.10739714652299881
1962-08-01,0.1066281870007515
1962-08-02,0.10739714652299881
1962-08-03,0.10765343904495239
1962-08-06,0.1066281870007515
1962-08-07,0.10611558705568314
1962-08-08,0.10710092633962631
1962-08-09,0.10761966556310654
1962-08-10,0.10761966556310654
1962-08-13,0.10761966556310654
1962-08-14,0.1078789159655571
1962-08-15,0.1078789159655571
1962-08-16,0.10813829302787781
1962-08-17,0.10865697264671326
1962-08-20,0.10917557030916214
1962-08-21,0.10943493992090225
1962-08-22,0.10943493992090225
1962-08-23,0.10865697264671326
1962-08-24,0.10813829302787781
1962-08-27,0.10839766263961792
1962-08-28,0.10761966556310654
1962-08-29,0.1078789159655571
1962-08-30,0.1078789159655571
1962-08-31,0.1078789159655571
1962-09-04,0.10761966556310654
1962-09-05,0.10761966556310654
1962-09-06,0.10736031085252762
1962-09-07,0.1078789159655571
