Date,eqnr
2001-06-18,3.2612006664276123
2001-06-19,3.326688051223755
2001-06-20,3.3354198932647705
2001-06-21,3.3048582077026367
2001-06-22,3.2786645889282227
2001-06-25,3.274298906326294
2001-06-26,3.274298906326294
2001-06-27,3.248106002807617
2001-06-28,3.108400821685791
2001-06-29,3.2175443172454834
2001-07-02,3.143327474594116
2001-07-03,3.1389620304107666
2001-07-05,3.07784104347229
2001-07-06,3.1738874912261963
2001-07-09,3.07784104347229
2001-07-10,2.994892120361328
2001-07-11,2.96433162689209
2001-07-12,2.968698263168335
2001-07-13,2.96433162689209
2001-07-16,2.994892120361328
2001-07-17,2.859553575515747
2001-07-18,2.8726513385772705
2001-07-19,2.999257802963257
2001-07-20,3.012354612350464
2001-07-23,3.07784104347229
2001-07-24,3.0516459941864014
2001-07-25,3.07784104347229
2001-07-26,3.0341832637786865
2001-07-27,3.143327474594116
2001-07-30,3.07784104347229
2001-07-31,3.07784104347229
2001-08-01,3.143327474594116
2001-08-02,3.186984062194824
2001-08-03,3.07784104347229
2001-08-06,3.0865724086761475
2001-08-07,3.012354612350464
2001-08-08,2.946868896484375
2001-08-09,3.016720771789551
2001-08-10,2.9905261993408203
2001-08-13,3.0341832637786865
2001-08-14,3.012354612350464
2001-08-15,3.064743995666504
2001-08-16,3.0385501384735107
2001-08-17,3.0341832637786865
2001-08-20,3.0254526138305664
2001-08-21,3.073474884033203
2001-08-22,3.0210866928100586
2001-08-23,2.968698263168335
2001-08-24,2.9730634689331055
2001-08-27,2.9774296283721924
2001-08-28,2.9730634689331055
2001-08-29,3.016720771789551
2001-08-30,3.0385501384735107
2001-08-31,3.012354612350464
2001-09-04,2.968698263168335
2001-09-05,2.946868896484375
2001-09-06,2.999257802963257
2001-09-07,3.012354612350464
2001-09-10,2.968698263168335
2001-09-17,3.047280788421631
2001-09-18,3.056011438369751
2001-09-19,3.0079891681671143
2001-09-20,2.9599673748016357
2001-09-21,2.815896511077881
2001-09-24,2.7285821437835693
2001-09-25,2.71985125541687
2001-09-26,2.71985125541687
2001-09-27,2.750410795211792
2001-09-28,2.8202614784240723
2001-10-01,2.750410795211792
2001-10-02,2.6936562061309814
2001-10-03,2.750410795211792
2001-10-04,2.772240161895752
2001-10-05,2.689291000366211
2001-10-08,2.6936562061309814
2001-10-09,2.737314462661743
2001-10-10,2.837725877761841
2001-10-11,2.8901138305664062
2001-10-12,2.898845911026001
2001-10-15,2.811530828475952
2001-10-16,2.8333590030670166
2001-10-17,2.837725877761841
2001-10-18,2.7591423988342285
2001-10-19,2.7154855728149414
2001-10-22,2.7460453510284424
2001-10-23,2.7635090351104736
2001-10-24,2.8333590030670166
2001-10-25,2.684925079345703
2001-10-26,2.750410795211792
2001-10-29,2.938138484954834
2001-10-30,2.9905261993408203
2001-10-31,2.968698263168335
2001-11-01,2.946868896484375
2001-11-02,2.903212070465088
2001-11-05,2.968698263168335
2001-11-06,2.9730634689331055
2001-11-07,2.9599673748016357
2001-11-08,2.9512341022491455
2001-11-09,3.056011438369751
2001-11-12,3.0254526138305664
2001-11-13,3.0996692180633545
2001-11-14,2.999257802963257
2001-11-15,2.8813836574554443
2001-11-16,2.903212070465088
2001-11-19,2.7897026538848877
2001-11-20,2.8246283531188965
2001-11-21,2.7940688133239746
2001-11-23,2.772240161895752
2001-11-26,2.767873764038086
2001-11-27,2.741680145263672
2001-11-28,2.7329483032226562
2001-11-29,2.7853376865386963
2001-11-30,2.811530828475952
2001-12-03,2.859553575515747
2001-12-04,2.968698263168335
2001-12-05,2.8901138305664062
2001-12-06,2.9075772762298584
2001-12-07,2.916309118270874
2001-12-10,2.868286371231079
2001-12-11,2.8639211654663086
2001-12-12,2.9512341022491455
2001-12-13,2.8420920372009277
2001-12-14,2.8464577198028564
2001-12-17,2.828993558883667
2001-12-18,2.8901138305664062
2001-12-19,2.9119434356689453
2001-12-20,2.8551886081695557
2001-12-21,2.8551886081695557
2001-12-24,2.811530828475952
2001-12-26,2.898845911026001
2001-12-27,2.8508224487304688
2001-12-28,2.8726513385772705
2001-12-31,2.859553575515747
2002-01-02,2.9905261993408203
2002-01-03,3.0516459941864014
2002-01-04,3.0079891681671143
2002-01-07,2.938138484954834
2002-01-08,2.9774296283721924
2002-01-09,3.0385501384735107
2002-01-10,3.016720771789551
2002-01-11,2.98616099357605
2002-01-14,2.8770172595977783
2002-01-15,2.837725877761841
2002-01-16,2.815896511077881
2002-01-17,2.837725877761841
2002-01-18,2.925039768218994
2002-01-22,2.8420920372009277
2002-01-23,2.815896511077881
2002-01-24,2.772240161895752
2002-01-25,2.8202614784240723
2002-01-28,2.828993558883667
2002-01-29,2.772240161895752
2002-01-30,2.7853376865386963
2002-01-31,2.7766058444976807
2002-02-01,2.815896511077881
2002-02-04,2.9119434356689453
2002-02-05,2.8333590030670166
2002-02-06,2.8770172595977783
2002-02-07,2.7809717655181885
2002-02-08,2.754777193069458
2002-02-11,2.868286371231079
2002-02-12,2.8246283531188965
2002-02-13,2.942502021789551
2002-02-14,2.9905261993408203
2002-02-15,2.999257802963257
2002-02-19,2.942502021789551
2002-02-20,2.925039768218994
2002-02-21,2.9075772762298584
2002-02-22,2.999257802963257
2002-02-25,3.0385501384735107
2002-02-26,3.056011438369751
2002-02-27,3.1389620304107666
2002-02-28,3.117133140563965
2002-03-01,3.1826188564300537
2002-03-04,3.169522285461426
2002-03-05,3.2175443172454834
2002-03-06,3.213178873062134
2002-03-07,3.274298906326294
2002-03-08,3.296128034591675
2002-03-11,3.2786645889282227
