Date,pbr
2000-08-10,1.4530372619628906
2000-08-11,1.4498646259307861
2000-08-14,1.443519115447998
2000-08-15,1.4498646259307861
2000-08-16,1.4879354238510132
2000-08-17,1.5609049797058105
2000-08-18,1.472072958946228
2000-08-21,1.4784178733825684
2000-08-22,1.4942811727523804
2000-08-23,1.5291790962219238
2000-08-24,1.4974533319473267
2000-08-25,1.5355238914489746
2000-08-28,1.5291790962219238
2000-08-29,1.5799404382705688
2000-08-30,1.6370465755462646
2000-08-31,1.614837646484375
2000-09-01,1.5831128358840942
2000-09-05,1.5926299095153809
2000-09-06,1.6751174926757812
2000-09-07,1.6941522359848022
2000-09-08,1.6624267101287842
2000-09-11,1.6909798383712769
2000-09-12,1.633873462677002
2000-09-13,1.5672497749328613
2000-09-14,1.5418691635131836
2000-09-15,1.5355238914489746
2000-09-18,1.4911078214645386
2000-09-19,1.500625491142273
2000-09-20,1.5291790962219238
2000-09-21,1.4879354238510132
2000-09-22,1.472072958946228
2000-09-25,1.4942811727523804
2000-09-26,1.5386964082717896
2000-09-27,1.5323517322540283
2000-09-28,1.5228334665298462
2000-09-29,1.5260063409805298
2000-10-02,1.5291790962219238
2000-10-03,1.5386964082717896
2000-10-04,1.5386964082717896
2000-10-05,1.5450419187545776
2000-10-06,1.5101441144943237
2000-10-09,1.5228334665298462
2000-10-10,1.548214077949524
2000-10-11,1.548214077949524
2000-10-12,1.614837646484375
2000-10-13,1.5704224109649658
2000-10-16,1.5228334665298462
2000-10-17,1.4752451181411743
2000-10-18,1.4911078214645386
2000-10-19,1.5101441144943237
2000-10-20,1.4784178733825684
2000-10-23,1.4213110208511353
2000-10-24,1.3705499172210693
2000-10-25,1.3356517553329468
2000-10-26,1.4213110208511353
2000-10-27,1.4403467178344727
2000-10-30,1.4593825340270996
2000-10-31,1.4752451181411743
2000-11-01,1.4911078214645386
2000-11-02,1.4752451181411743
2000-11-03,1.4340016841888428
2000-11-06,1.4498646259307861
2000-11-07,1.4752451181411743
2000-11-08,1.4466921091079712
2000-11-09,1.4213110208511353
2000-11-10,1.4086214303970337
2000-11-13,1.4181392192840576
2000-11-14,1.4340016841888428
2000-11-15,1.443519115447998
2000-11-16,1.4911078214645386
2000-11-17,1.437174677848816
2000-11-20,1.4625544548034668
2000-11-21,1.4911078214645386
2000-11-22,1.4593825340270996
2000-11-24,1.4022762775421143
2000-11-27,1.364205241203308
2000-11-28,1.3515150547027588
2000-11-29,1.3483421802520752
2000-11-30,1.3070989847183228
2000-12-01,1.3197896480560303
2000-12-04,1.3134442567825317
2000-12-05,1.3388246297836304
2000-12-06,1.2341291904449463
2000-12-07,1.2499927282333374
2000-12-08,1.2531650066375732
2000-12-11,1.2531650066375732
2000-12-12,1.2373024225234985
2000-12-13,1.275373101234436
2000-12-14,1.3229619264602661
2000-12-15,1.3070989847183228
2000-12-18,1.3039265871047974
2000-12-19,1.2880635261535645
2000-12-20,1.2626832723617554
2000-12-21,1.2499927282333374
2000-12-22,1.2626832723617554
2000-12-26,1.2436476945877075
2000-12-27,1.2468199729919434
2000-12-28,1.278545618057251
2000-12-29,1.281718373298645
2001-01-02,1.3070989847183228
2001-01-03,1.4022762775421143
2001-01-04,1.3864130973815918
2001-01-05,1.361032247543335
2001-01-08,1.367377519607544
2001-01-09,1.3832406997680664
2001-01-10,1.3927583694458008
2001-01-11,1.3959311246871948
2001-01-12,1.4181392192840576
2001-01-16,1.4815901517868042
2001-01-17,1.4847629070281982
2001-01-18,1.5164886713027954
2001-01-19,1.4911078214645386
2001-01-22,1.472072958946228
2001-01-23,1.4784178733825684
2001-01-24,1.4149658679962158
2001-01-25,1.4086214303970337
2001-01-26,1.4086214303970337
2001-01-29,1.4070979356765747
2001-01-30,1.4375548362731934
2001-01-31,1.435524582862854
2001-02-01,1.39897620677948
2001-02-02,1.3918700218200684
2001-02-05,1.3908551931381226
2001-02-06,1.3999921083450317
2001-02-07,1.4076060056686401
2001-02-08,1.440092921257019
2001-02-09,1.466996431350708
2001-02-12,1.462428092956543
2001-02-13,1.4903467893600464
2001-02-14,1.5258792638778687
2001-02-15,1.5050678253173828
2001-02-16,1.5020217895507812
2001-02-20,1.4695347547531128
2001-02-21,1.4213110208511353
2001-02-22,1.4304486513137817
2001-02-23,1.4578592777252197
2001-02-26,1.507606029510498
2001-02-27,1.4984686374664307
2001-02-28,1.4482148885726929
2001-03-01,1.4593825340270996
2001-03-02,1.4812097549438477
2001-03-05,1.4735956192016602
2001-03-06,1.4730875492095947
2001-03-07,1.4746110439300537
2001-03-08,1.4796868562698364
2001-03-09,1.4796868562698364
2001-03-12,1.4213110208511353
2001-03-13,1.4289257526397705
2001-03-14,1.3959311246871948
2001-03-15,1.2994842529296875
2001-03-16,1.3319722414016724
2001-03-19,1.3152210712432861
2001-03-20,1.3258802890777588
2001-03-21,1.5099619626998901
2001-03-22,1.4285868406295776
2001-03-23,1.398447871208191
2001-03-26,1.471987009048462
2001-03-27,1.5129766464233398
2001-03-28,1.4774121046066284
2001-03-29,1.4195451736450195
2001-03-30,1.4346147775650024
2001-04-02,1.3803651332855225
2001-04-03,1.374336838722229
2001-04-04,1.4044759273529053
2001-04-05,1.5129766464233398
2001-04-06,1.5443209409713745
2001-04-09,1.5515533685684204
2001-04-10,1.5557737350463867
2001-04-11,1.5220179557800293
2001-04-12,1.4858508110046387
2001-04-16,1.451492428779602
2001-04-17,1.4671649932861328
2001-04-18,1.5401009321212769
2001-04-19,1.5015231370925903
2001-04-20,1.4159280061721802
2001-04-23,1.4876593351364136
