Date,cop
1981-12-31,0.8708961009979248
1982-01-04,0.8574557900428772
1982-01-05,0.8252004981040955
1982-01-06,0.8090735673904419
1982-01-07,0.8010093569755554
1982-01-08,0.7848809361457825
1982-01-11,0.7526261210441589
1982-01-12,0.7391860485076904
1982-01-13,0.7364982962608337
1982-01-14,0.7580018639564514
1982-01-15,0.8332648277282715
1982-01-18,0.8628318905830383
1982-01-19,0.8386403322219849
1982-01-20,0.7983211278915405
1982-01-21,0.8144487142562866
1982-01-22,0.8117610216140747
1982-01-25,0.8413283228874207
1982-01-26,0.8332648277282715
1982-01-27,0.8386403322219849
1982-01-28,0.8440166115760803
1982-01-29,0.8386403322219849
1982-02-01,0.8260993361473083
1982-02-02,0.8070141077041626
1982-02-03,0.7770237922668457
1982-02-04,0.8042879700660706
1982-02-05,0.8070141077041626
1982-02-08,0.7661179304122925
1982-02-09,0.7497599124908447
1982-02-10,0.7579392790794373
1982-02-11,0.8397312164306641
1982-02-12,0.8042879700660706
1982-02-16,0.8070141077041626
1982-02-17,0.7688447833061218
1982-02-18,0.7606651782989502
1982-02-19,0.7306748032569885
1982-02-22,0.6706942915916443
1982-02-23,0.7252217531204224
1982-02-24,0.7224959135055542
1982-02-25,0.6979582905769348
1982-02-26,0.700684666633606
1982-03-01,0.687052845954895
1982-03-02,0.6652414798736572
1982-03-03,0.6461565494537354
1982-03-04,0.6461565494537354
1982-03-05,0.6352508664131165
1982-03-08,0.6079869270324707
1982-03-09,0.6161662340164185
1982-03-10,0.5998081564903259
1982-03-11,0.6025339365005493
1982-03-12,0.6161662340164185
1982-03-15,0.6543359756469727
1982-03-16,0.6434299945831299
1982-03-17,0.6216192841529846
1982-03-18,0.6270716786384583
1982-03-19,0.632524311542511
1982-03-22,0.6379772424697876
1982-03-23,0.6297982335090637
1982-03-24,0.6434299945831299
1982-03-25,0.632524311542511
1982-03-26,0.6407040953636169
1982-03-29,0.6597886681556702
1982-03-30,0.6597886681556702
1982-03-31,0.6734206676483154
1982-04-01,0.689778745174408
1982-04-02,0.7115902304649353
1982-04-05,0.7061372995376587
1982-04-06,0.7034109234809875
1982-04-07,0.6952319145202637
1982-04-08,0.7088635563850403
1982-04-12,0.689778745174408
1982-04-13,0.6706942915916443
1982-04-14,0.681600034236908
1982-04-15,0.6979582905769348
1982-04-16,0.6925054788589478
1982-04-19,0.6652414798736572
1982-04-20,0.6597886681556702
1982-04-21,0.6706942915916443
1982-04-22,0.6925054788589478
1982-04-23,0.7088635563850403
1982-04-26,0.6952319145202637
1982-04-27,0.6979582905769348
1982-04-28,0.689778745174408
1982-04-29,0.6788737177848816
1982-04-30,0.687052845954895
1982-05-03,0.682612955570221
1982-05-04,0.6798378229141235
1982-05-05,0.693712592124939
1982-05-06,0.7214604020118713
1982-05-07,0.7381094694137573
1982-05-10,0.7297853827476501
1982-05-11,0.7436596751213074
1982-05-12,0.7325603365898132
1982-05-13,0.724235475063324
1982-05-14,0.7103608250617981
1982-05-17,0.7048120498657227
1982-05-18,0.6909374594688416
1982-05-19,0.6909374594688416
1982-05-20,0.693712592124939
1982-05-21,0.682612955570221
1982-05-24,0.693712592124939
1982-05-25,0.7048120498657227
1982-05-26,0.6909374594688416
1982-05-27,0.6798378229141235
1982-05-28,0.6742883920669556
1982-06-01,0.6881629228591919
1982-06-02,0.693712592124939
1982-06-03,0.6992618441581726
1982-06-04,0.6881629228591919
1982-06-07,0.7020366787910461
1982-06-08,0.7020366787910461
1982-06-09,0.6992618441581726
1982-06-10,0.7103608250617981
1982-06-11,0.7103608250617981
1982-06-14,0.6909374594688416
1982-06-15,0.6770630478858948
1982-06-16,0.6604140996932983
1982-06-17,0.6437647938728333
1982-06-18,0.6493142247200012
1982-06-21,0.6548640727996826
1982-06-22,0.6382153034210205
1982-06-23,0.6493142247200012
1982-06-24,0.6715133190155029
1982-06-25,0.6881629228591919
1982-06-28,0.693712592124939
1982-06-29,0.6992618441581726
1982-06-30,0.6604140996932983
1982-07-01,0.668738842010498
1982-07-02,0.6798378229141235
1982-07-06,0.6715133190155029
1982-07-07,0.6715133190155029
1982-07-08,0.6631891131401062
1982-07-09,0.6576393842697144
1982-07-12,0.6271160840988159
1982-07-13,0.6271160840988159
1982-07-14,0.6576393842697144
1982-07-15,0.6493142247200012
1982-07-16,0.6409898400306702
1982-07-19,0.6243413090705872
1982-07-20,0.6160162687301636
1982-07-21,0.61324143409729
1982-07-22,0.6215661764144897
1982-07-23,0.61324143409729
1982-07-26,0.6104666590690613
1982-07-27,0.5882681012153625
1982-07-28,0.571618914604187
1982-07-29,0.5827181935310364
1982-07-30,0.571618914604187
1982-08-02,0.5869303345680237
1982-08-03,0.5670821666717529
1982-08-04,0.5585764646530151
1982-08-05,0.5727530121803284
1982-08-06,0.5557408928871155
1982-08-09,0.5529050827026367
1982-08-10,0.5472343564033508
1982-08-11,0.5529050827026367
1982-08-12,0.5472343564033508
1982-08-13,0.5614115595817566
1982-08-16,0.5443990230560303
1982-08-17,0.5670821666717529
1982-08-18,0.5387279391288757
1982-08-19,0.5472343564033508
1982-08-20,0.5699174404144287
1982-08-23,0.5954364538192749
1982-08-24,0.5869303345680237
1982-08-25,0.6266255378723145
1982-08-26,0.6464738249778748
1982-08-27,0.6322968602180481
1982-08-30,0.629461407661438
1982-08-31,0.6379677057266235
1982-09-01,0.6237905621528625
1982-09-02,0.629461407661438
1982-09-03,0.6549798846244812
1982-09-07,0.6464738249778748
1982-09-08,0.6578152775764465
1982-09-09,0.6578152775764465
1982-09-10,0.6464738249778748
